fipsst,fipsco,pop_total,aadr70,aadr00,cutoff70_a,cutoff00_a,stroke_belt70,stroke_belt00
02,02240,5741,.0035002071,.0043021468,.00070765469,.0010762762,1,1
02,02290,7820,.00023042821,.00021976573,.00070765469,.0010762762,0,0
04,04001,51508,.00016626288,.00023549399,.00070765469,.0010762762,0,0
04,04003,86220,.00045588115,.00067837333,.00070765469,.0010762762,0,0
04,04005,75383,.00036902656,.00058237009,.00070765469,.0010762762,0,0
04,04007,37247,.00037254614,.00056873157,.00070765469,.0010762762,0,0
04,04009,22908,.00018545994,.00027252641,.00070765469,.0010762762,0,0
04,04011,11425,.00015683334,.0002335521,.00070765469,.0010762762,0,0
04,04013,1521597,.00053848134,.00081025,.00070765469,.0010762762,0,0
04,04015,56442,.00037519893,.0006321416,.00070765469,.0010762762,0,0
04,04017,67144,.00027002214,.00035991572,.00070765469,.0010762762,0,0
04,04019,535975,.00050264801,.000732471,.00070765469,.0010762762,0,0
04,04021,91302,.00032400456,.00050252769,.00070765469,.0010762762,0,0
04,04023,20520,.00026975194,.00038619951,.00070765469,.0010762762,0,0
04,04025,68752,.00045399525,.00071853836,.00070765469,.0010762762,0,0
04,04027,76886,.00083275646,.0013158508,.00070765469,.0010762762,1,1
05,05001,24193,.0012921514,.0019251191,.00070765469,.0010762762,1,1
05,05003,26602,.00077031628,.0011633383,.00070765469,.0010762762,1,1
05,05005,27499,.00070662366,.0011691574,.00070765469,.0010762762,0,1
05,05007,78413,.00060731126,.00096320675,.00070765469,.0010762762,0,0
05,05009,26133,.00070047227,.0010071207,.00070765469,.0010762762,0,0
05,05011,13764,.00067054958,.0010332197,.00070765469,.0010762762,0,0
05,05013,6074,.00013966413,.00013320152,.00070765469,.0010762762,0,0
05,05015,16231,.00022011372,.00038346951,.00070765469,.0010762762,0,0
05,05017,17802,.0004590496,.00068283419,.00070765469,.0010762762,0,0
05,05019,23316,.0006527591,.00098304299,.00070765469,.0010762762,0,0
05,05021,20559,.00042859069,.00068199169,.00070765469,.0010762762,0,0
05,05023,16921,.00028513005,.00046706107,.00070765469,.0010762762,0,0
05,05025,7887,.00022309962,.00028676892,.00070765469,.0010762762,0,0
05,05027,26667,.00081184413,.0012062036,.00070765469,.0010762762,1,1
05,05029,19481,.00047464162,.00076499325,.00070765469,.0010762762,0,0
05,05031,63343,.0013495265,.0020209551,.00070765469,.0010762762,1,1
05,05033,36963,.00051401713,.00084176881,.00070765469,.0010762762,0,0
05,05035,49466,.0010698013,.0014479681,.00070765469,.0010762762,1,1
05,05037,20449,.0011014156,.0017286893,.00070765469,.0010762762,1,1
05,05039,10506,.00016914905,.00020382146,.00070765469,.0010762762,0,0
05,05041,19704,.00069193234,.0010530879,.00070765469,.0010762762,0,0
05,05043,17925,.00074120198,.0010699041,.00070765469,.0010762762,1,0
05,05045,46367,.00068542839,.0009911292,.00070765469,.0010762762,0,0
05,05047,14703,.00023984845,.00041157546,.00070765469,.0010762762,0,0
05,05049,9978,.0010683993,.0014669929,.00070765469,.0010762762,1,1
